college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,salary_log
Tier 3,9.72,2,1,1,3,1,0,2,0,74.5,Data Scientist,10.27,1,2,2.422144328051685
Tier 2,6.49,2,2,0,0,3,1,1,1,46.7,Software Engineer,10.05,2,6,2.402430427963762
Tier 2,10.0,1,6,0,2,3,1,2,1,74.3,Data Scientist,24.53,2,2,3.2398542312533927
Tier 2,4.97,0,2,0,1,2,1,0,1,46.4,Junior Developer,4.4,2,4,1.6863989535702288
Tier 3,9.0,0,1,0,1,3,1,2,2,65.7,Web Developer,15.07,1,7,2.776954179749421
Tier 1,10.0,0,3,0,0,2,1,1,1,74.3,Software Engineer,21.92,3,6,3.132009891846539
Tier 3,8.8,1,2,0,3,2,1,3,1,68.0,Data Scientist,21.15,1,2,3.0978374964911444
Tier 2,6.89,0,2,0,1,2,0,3,2,48.4,Software Engineer,8.24,2,6,2.2235418856535927
Tier 3,5.87,2,2,1,0,1,0,1,0,42.7,Junior Developer,4.42,1,4,1.6900958154515549
Tier 1,8.11,1,1,0,1,2,0,1,1,55.8,Data Analyst,10.46,3,1,2.4388627112865935
Tier 2,6.88,1,4,0,1,2,1,1,0,45.7,Software Engineer,10.03,2,6,2.400618833265411
Tier 3,5.04,1,2,0,4,2,1,0,0,42.0,Junior Developer,4.62,1,4,1.7263316639055997
Tier 3,4.16,0,1,0,1,1,1,0,0,39.8,Junior Developer,4.23,1,4,1.6544112780768316
Tier 2,7.69,1,3,0,1,2,0,2,0,45.1,Software Engineer,10.29,2,6,2.4239173781615704
Tier 3,7.29,0,3,0,3,2,0,1,1,50.7,Web Developer,9.26,1,7,2.3282528397426234
Tier 3,7.21,3,3,0,2,2,0,1,0,43.8,Data Scientist,10.45,1,2,2.4379897300002487
Tier 2,7.16,0,5,2,1,2,0,1,1,51.2,Web Developer,10.24,2,7,2.419478844465545
Tier 3,8.51,0,2,0,3,0,0,1,2,55.1,Data Analyst,10.42,1,1,2.435366204227864
Tier 2,8.28,3,3,3,2,0,1,2,1,55.2,DevOps Engineer,19.52,2,3,3.021400020302569
Tier 3,5.8,0,0,2,1,2,0,0,3,36.8,Web Developer,4.52,1,7,1.7083778602890038
Tier 3,6.74,2,2,3,1,1,0,1,1,44.0,Software Engineer,6.39,1,6,2.0001277349601105
Tier 3,8.7,1,2,0,2,2,0,2,0,58.0,Backend Developer,10.49,1,0,2.4414770918606643
Tier 3,7.4,1,0,0,1,2,2,2,0,63.3,Data Scientist,15.47,1,2,2.8015405441895487
Tier 1,4.0,2,2,4,4,1,0,1,2,23.6,Junior Developer,3.49,3,4,1.501852701754163
Tier 1,6.0,1,3,0,3,3,0,0,2,43.2,Data Analyst,6.87,3,1,2.063058062429312
Tier 3,6.89,2,2,0,1,2,1,2,2,53.6,Software Engineer,9.83,1,6,2.382320061012899
Tier 1,7.45,1,0,0,3,2,1,2,0,50.0,Data Scientist,15.95,3,2,2.830267833826459
Tier 2,7.78,0,0,1,2,3,2,1,1,67.4,ML Engineer,15.54,2,5,2.805781689595545
Tier 3,6.17,2,1,0,2,2,0,0,1,44.9,Software Engineer,6.54,1,6,2.020222182019865
Tier 3,7.68,2,0,1,2,0,1,3,0,60.0,Backend Developer,14.21,1,0,2.7219531062712017
Tier 3,9.16,0,1,0,1,2,2,2,2,71.3,Data Scientist,21.22,1,2,3.100992784211484
Tier 1,9.97,0,3,0,0,2,2,1,1,75.3,ML Engineer,31.52,3,5,3.4818552846796096
Tier 2,6.97,2,2,0,0,0,0,2,3,43.8,Data Analyst,7.92,2,1,2.188295946591918
Tier 2,9.16,1,1,1,0,1,2,0,1,75.3,Data Scientist,24.74,2,2,3.2480462021679806
Tier 3,7.43,3,1,1,3,1,1,0,0,50.9,Software Engineer,12.5,1,6,2.6026896854443837
Tier 2,7.74,1,4,0,1,0,1,0,0,63.8,Data Scientist,15.92,2,2,2.8284963541780774
Tier 3,5.0,3,1,1,2,4,0,1,0,38.3,Junior Developer,3.13,1,4,1.4182774069729414
Tier 3,8.77,1,2,0,1,2,1,1,1,72.3,Data Scientist,18.59,1,2,2.9750192319564492
Tier 1,8.27,1,1,0,2,2,2,1,0,65.7,ML Engineer,24.14,3,5,3.2244602031621015
Tier 2,7.09,0,2,1,0,1,0,3,2,43.2,Data Analyst,10.65,2,1,2.4553061800117097
Tier 1,8.47,2,2,0,1,2,1,1,2,62.6,Data Scientist,23.69,3,2,3.206398303357088
Tier 2,6.77,1,3,3,2,1,0,0,3,49.6,Web Developer,6.73,2,7,2.0451088625993306
Tier 3,5.75,0,2,1,1,5,2,1,1,49.3,Web Developer,6.32,1,7,1.9906103279732201
Tier 3,8.33,0,3,2,4,3,1,0,1,68.2,Software Engineer,13.97,1,6,2.706048198431537
Tier 2,7.68,2,1,0,0,1,1,2,1,65.7,Backend Developer,15.75,2,0,2.8183982582710754
Tier 2,5.81,0,1,0,3,3,0,2,1,29.9,Web Developer,4.38,2,7,1.682688374173693
Tier 2,5.03,1,5,0,0,3,1,0,0,35.4,Junior Developer,4.42,2,4,1.6900958154515549
Tier 2,4.97,0,2,0,2,1,0,0,1,34.3,Junior Developer,3.77,2,4,1.5623463049002497
Tier 1,5.84,0,2,1,3,0,0,0,1,43.2,Web Developer,4.84,3,7,1.7647307968401356
Tier 2,8.45,1,1,0,3,3,0,1,1,61.1,Data Scientist,10.2,2,2,2.4159137783010487
Tier 2,7.33,1,1,2,0,0,0,1,2,57.4,Web Developer,8.93,2,7,2.295560478057081
Tier 2,5.16,1,2,1,2,1,0,0,1,37.5,Junior Developer,3.69,2,4,1.5454325824581878
Tier 3,6.36,1,0,0,1,1,2,2,1,49.6,Software Engineer,9.94,1,6,2.392425796993835
Tier 2,6.09,1,4,0,4,1,1,0,0,46.8,Software Engineer,10.17,2,6,2.413231613081109
Tier 3,7.09,0,2,0,2,3,1,2,1,48.2,Software Engineer,13.9,1,6,2.7013612129514133
Tier 2,8.46,1,0,1,3,1,0,0,2,59.9,Data Analyst,6.19,2,1,1.9726911717329554
Tier 2,6.71,2,2,2,2,1,2,2,0,52.8,Data Scientist,10.35,2,2,2.4292177439274116
Tier 3,7.68,0,0,0,0,4,1,2,1,60.8,Data Scientist,13.28,1,2,2.658859956911438
Tier 3,7.98,2,2,0,0,0,0,1,1,58.4,Data Analyst,9.24,1,1,2.3263016196113617
Tier 3,4.84,1,0,1,2,0,1,0,2,34.6,Junior Developer,4.44,1,4,1.6937790608678513
Tier 1,8.79,0,1,2,0,0,1,0,1,62.5,DevOps Engineer,19.71,3,3,3.030616675407493
Tier 1,6.53,3,2,1,2,2,0,1,0,46.6,Software Engineer,8.26,3,6,2.225704048658088
Tier 1,7.91,0,2,0,1,1,0,1,2,55.3,Web Developer,10.57,3,7,2.448415541205585
Tier 3,7.14,2,1,0,2,3,1,2,1,49.1,Data Scientist,15.38,1,2,2.7960610784249234
Tier 2,5.66,1,1,2,4,1,1,0,0,44.1,Web Developer,6.52,2,7,2.017566137961748
Tier 2,6.73,0,1,0,0,3,0,2,0,47.6,DevOps Engineer,8.36,2,3,2.2364452904895007
Tier 1,6.21,1,1,2,0,0,1,2,2,50.5,Software Engineer,10.39,3,6,2.432735777459091
Tier 3,5.5,0,4,2,4,1,1,3,0,40.0,Web Developer,6.17,1,7,1.969905654611529
Tier 2,6.75,0,2,2,0,2,3,1,1,63.6,Data Scientist,9.83,2,2,2.382320061012899
Tier 3,6.8,1,4,3,0,0,3,0,1,61.0,Data Scientist,10.24,1,2,2.419478844465545
Tier 3,7.69,0,4,0,1,4,0,2,0,52.6,Software Engineer,10.39,1,6,2.432735777459091
Tier 2,7.99,1,2,0,2,3,0,4,1,51.3,Backend Developer,10.16,2,0,2.412335956953165
Tier 3,7.78,1,1,0,3,4,1,0,1,50.8,Data Scientist,13.96,1,2,2.7053799725463312
Tier 3,6.34,1,3,2,2,0,1,2,1,61.2,Backend Developer,10.33,1,0,2.427454075039915
Tier 3,6.22,2,1,0,1,1,0,2,0,44.5,Software Engineer,8.04,1,6,2.201659174404085
Tier 3,9.23,1,2,0,1,1,1,0,1,63.2,Data Scientist,17.34,1,2,2.9090844668283187
Tier 2,7.93,1,2,2,2,0,0,0,1,56.5,Web Developer,6.29,2,7,1.986503546020567
Tier 2,4.0,2,1,3,0,1,1,1,1,31.2,Junior Developer,4.61,2,4,1.724550719534605
Tier 1,6.73,0,2,1,1,0,1,0,3,39.0,Web Developer,10.27,3,7,2.422144328051685
Tier 2,7.88,0,4,0,1,3,1,1,0,57.8,Data Scientist,15.6,2,2,2.8094026953624978
Tier 2,9.9,2,0,0,1,3,1,0,1,75.4,Data Scientist,24.41,2,2,3.2351427973320726
Tier 3,7.21,1,2,2,1,2,0,1,0,48.6,DevOps Engineer,7.16,1,3,2.0992441689760155
Tier 3,7.07,1,2,0,2,4,2,0,0,59.1,ML Engineer,15.34,1,5,2.7936160894318567
Tier 2,6.93,2,0,2,2,2,0,3,0,44.8,DevOps Engineer,8.56,2,3,2.25758772706331
Tier 1,8.3,1,2,1,3,2,0,0,1,53.3,Data Scientist,6.53,3,2,2.018895041811802
Tier 2,9.48,0,6,1,2,0,2,2,1,69.0,ML Engineer,29.73,2,5,3.425239376142393
Tier 3,10.0,2,2,1,2,2,0,2,1,76.5,Software Engineer,10.39,1,6,2.432735777459091
Tier 3,5.8,2,1,0,2,3,0,1,1,38.1,Web Developer,4.81,1,7,1.7595805708638197
Tier 2,7.16,0,3,0,1,3,1,2,1,44.4,Software Engineer,16.04,2,6,2.8355635214011694
Tier 2,8.23,4,3,0,1,4,0,1,0,51.0,DevOps Engineer,10.24,2,3,2.419478844465545
Tier 2,6.89,2,5,2,2,0,0,1,0,50.1,Software Engineer,8.55,2,6,2.256541154492639
Tier 1,6.73,0,2,0,1,0,1,1,1,49.4,Software Engineer,10.29,3,6,2.4239173781615704
Tier 1,9.05,1,0,0,1,4,0,1,1,65.1,Software Engineer,10.75,3,6,2.463853240590168
Tier 3,7.32,3,2,1,3,2,2,1,2,62.4,Data Scientist,15.71,1,2,2.8160073426073025
Tier 3,7.04,1,5,0,1,1,1,1,3,51.1,Web Developer,14.19,1,7,2.7206373166076814
Tier 2,5.31,1,1,0,0,1,0,2,0,36.8,Junior Developer,3.51,2,4,1.506297153514587
Tier 3,6.1,2,2,0,1,3,2,0,2,48.7,Data Analyst,9.8,1,1,2.379546134130174
Tier 3,5.35,2,4,0,1,1,1,0,3,32.2,Junior Developer,4.98,1,4,1.7884205679625405
Tier 3,8.08,0,2,0,2,0,1,2,2,63.1,Data Analyst,13.15,1,1,2.649714624089247
Tier 2,8.47,0,1,1,3,1,1,0,1,69.1,Software Engineer,16.87,2,6,2.8831233291713367
Tier 3,7.13,0,1,0,1,0,2,1,0,48.1,Data Scientist,13.38,1,2,2.6658383522929006
Tier 3,8.03,2,2,1,4,2,1,2,2,66.6,DevOps Engineer,17.55,1,3,2.920469789053444
Tier 2,7.94,1,1,0,2,0,1,2,0,66.1,Data Scientist,16.42,2,2,2.857618971424357
Tier 3,6.33,1,3,2,0,1,0,2,2,43.3,Software Engineer,7.72,1,6,2.1656192379208883
Tier 1,7.01,1,0,0,0,0,1,0,0,51.8,Data Scientist,16.48,3,2,2.8610573702273894
Tier 2,7.67,0,4,1,2,2,1,1,0,56.2,Data Scientist,16.52,2,2,2.8633430855082453
Tier 1,9.68,2,1,0,0,1,1,2,2,72.1,Software Engineer,22.15,3,6,3.1419947805322432
Tier 2,8.15,0,3,2,2,1,0,1,0,47.9,Software Engineer,11.19,2,6,2.5006159434931803
Tier 3,5.2,0,5,1,1,2,0,1,0,38.3,Junior Developer,3.59,1,4,1.5238800240724537
Tier 2,8.35,1,1,1,2,5,1,1,2,62.2,Web Developer,15.75,2,7,2.8183982582710754
Tier 1,6.75,1,3,1,3,0,0,0,1,42.4,Data Analyst,5.99,3,1,1.944480556245719
Tier 2,6.25,0,1,3,0,3,2,2,0,56.1,Software Engineer,10.24,2,6,2.419478844465545
Tier 2,7.91,3,0,0,0,2,1,0,1,55.4,Software Engineer,15.91,2,6,2.827905162910489
Tier 1,4.73,0,3,0,1,1,1,0,1,38.2,Junior Developer,4.75,3,4,1.749199854809259
Tier 2,6.77,0,1,3,1,3,0,1,0,44.1,Software Engineer,6.82,2,6,2.05668455455722
Tier 2,5.67,3,1,1,1,0,1,2,1,47.6,Web Developer,5.84,2,7,1.922787731634459
Tier 2,7.18,1,0,0,0,2,1,3,0,58.4,DevOps Engineer,15.74,2,3,2.8178010650613294
Tier 3,6.21,0,2,2,3,2,2,3,0,50.0,Software Engineer,10.43,1,6,2.4362414778067194
Tier 2,8.11,0,1,2,2,0,1,3,2,63.8,Web Developer,15.76,2,7,2.818995095053937
Tier 2,6.83,2,1,1,0,4,1,1,0,49.6,Software Engineer,9.89,2,6,2.387844936944869
Tier 2,9.52,1,2,0,2,3,0,1,0,65.0,DevOps Engineer,10.58,2,3,2.449279472144849
Tier 1,6.35,0,2,0,1,0,1,0,2,47.6,Web Developer,9.93,3,7,2.391511302188447
Tier 2,5.81,1,2,2,1,4,0,2,1,39.5,Junior Developer,4.86,2,4,1.7681496035889213
Tier 3,8.18,1,1,0,3,4,2,0,2,61.5,ML Engineer,17.11,1,5,2.896464271895322
Tier 1,6.78,0,1,1,0,6,0,2,0,41.2,Software Engineer,7.82,3,6,2.1770218700187
Tier 3,6.55,2,1,1,1,2,1,2,2,48.3,Software Engineer,10.3,1,6,2.424802725718295
Tier 1,6.91,1,1,1,0,2,0,2,0,58.5,Software Engineer,8.0,3,6,2.1972245773362196
Tier 2,6.77,2,1,0,1,0,0,1,1,45.6,Junior Developer,8.13,2,4,2.211565694606877
Tier 2,7.45,0,4,1,1,1,0,3,0,53.0,Software Engineer,10.41,2,6,2.4344901638739844
Tier 2,7.66,5,1,1,2,3,0,0,2,50.7,Data Analyst,6.02,2,1,1.9487632180377197
Tier 2,7.73,0,2,0,0,2,0,1,0,50.3,Software Engineer,9.93,2,6,2.391511302188447
Tier 3,5.39,4,2,0,1,2,1,0,0,33.7,Junior Developer,4.04,1,4,1.6174060820832772
Tier 2,7.04,0,0,0,3,2,1,2,1,49.3,Data Scientist,16.29,2,2,2.850128299695199
Tier 2,7.94,2,3,0,0,2,0,0,3,54.1,Web Developer,6.4,2,7,2.0014800002101243
Tier 2,7.85,1,4,0,2,1,0,3,2,56.7,Software Engineer,10.25,2,6,2.4203681286504293
Tier 3,6.19,1,1,0,0,3,0,0,1,43.5,Web Developer,6.03,1,7,1.9501867058225735
Tier 1,7.56,1,3,0,4,2,1,0,3,65.9,Data Scientist,16.11,3,2,2.839663087904102
Tier 2,7.58,2,2,1,0,2,3,0,1,62.2,Data Scientist,16.32,2,2,2.851861903134289
Tier 2,8.19,2,4,0,3,4,1,2,0,63.6,Backend Developer,17.44,2,0,2.914522218128448
Tier 3,6.15,0,1,2,1,3,1,0,1,54.3,Web Developer,8.92,1,7,2.2945529212967815
Tier 1,7.05,1,3,1,1,3,0,1,0,54.9,DevOps Engineer,10.98,3,3,2.4832385926873033
Tier 2,7.08,0,1,1,2,2,0,1,1,46.4,DevOps Engineer,8.99,2,3,2.301584592660462
Tier 3,8.48,0,4,0,2,1,2,1,0,69.1,Data Scientist,17.86,1,2,2.937043277205311
Tier 2,7.04,0,1,0,2,2,0,1,0,45.5,Data Scientist,9.77,2,2,2.3767644911682972
Tier 1,5.26,0,3,0,0,2,1,2,0,49.2,Junior Developer,4.9,3,4,1.7749523509116738
Tier 2,5.44,0,3,1,1,2,3,0,1,54.2,Junior Developer,4.67,2,4,1.7351891177396608
Tier 3,7.41,0,3,0,1,4,0,1,1,47.5,DevOps Engineer,8.97,1,3,2.299580583973747
Tier 2,7.38,1,2,0,2,1,0,1,1,52.6,Data Analyst,10.49,2,1,2.4414770918606643
Tier 3,6.72,1,1,0,1,4,1,0,0,53.5,Software Engineer,10.14,1,6,2.410542234499138
Tier 3,7.09,0,4,0,3,4,1,1,2,57.3,Data Scientist,14.85,1,2,2.7631695003232895
Tier 2,7.83,1,3,1,1,2,0,1,0,58.8,DevOps Engineer,10.4,2,3,2.4336133554004498
Tier 2,7.3,1,1,0,0,1,0,1,2,49.2,Data Analyst,10.44,2,1,2.437115985951652
Tier 2,7.2,1,1,0,2,3,0,2,3,44.7,Software Engineer,9.99,2,6,2.39698576841553
Tier 3,7.85,1,2,0,5,1,3,1,0,67.0,ML Engineer,15.7,1,5,2.8154087194227095
Tier 1,7.64,1,0,0,0,3,0,2,0,49.9,Software Engineer,10.02,3,6,2.3997118037247684
Tier 2,6.74,1,1,1,0,4,2,0,3,53.6,Data Scientist,10.56,2,2,2.4475508632442313
Tier 3,7.47,1,3,0,0,1,1,2,0,51.8,Software Engineer,14.12,1,6,2.716018370751387
Tier 1,5.81,1,1,1,1,3,1,0,1,47.9,Web Developer,6.08,3,7,1.9572739077056285
Tier 1,9.11,3,2,0,3,3,0,0,1,68.0,Data Analyst,5.73,3,1,1.9065751436566365
Tier 3,6.27,1,3,0,1,0,1,1,0,48.9,Software Engineer,9.82,1,6,2.3813962734183356
Tier 1,4.35,2,0,0,2,3,0,1,0,32.7,Junior Developer,4.04,3,4,1.6174060820832772
Tier 3,7.85,2,3,0,5,3,4,1,0,74.9,Data Scientist,16.54,1,2,2.864483986944037
Tier 2,6.74,0,1,0,0,3,2,2,0,56.3,Data Scientist,9.86,2,2,2.3850863145057892
Tier 3,8.39,2,3,0,1,2,1,2,2,60.6,Software Engineer,18.05,1,6,2.94706710157271
Tier 2,5.52,3,0,1,1,1,0,0,1,37.0,Web Developer,4.95,2,7,1.7833912195575383
Tier 2,6.35,1,7,1,0,6,2,2,0,52.8,Software Engineer,9.97,2,6,2.395164274287139
Tier 2,6.4,0,0,0,2,2,0,1,0,47.9,Software Engineer,8.4,2,6,2.2407096892759584
Tier 1,7.46,1,5,1,1,4,0,0,1,57.7,Web Developer,6.74,3,7,2.046401687601636
Tier 3,7.66,2,3,1,3,1,0,3,0,59.8,Software Engineer,10.91,1,6,2.477378383367209
Tier 2,7.68,1,2,1,5,1,0,2,0,49.4,Software Engineer,9.9,2,6,2.388762789235098
Tier 3,7.65,2,1,0,1,4,0,3,1,56.7,DevOps Engineer,10.16,1,3,2.412335956953165
Tier 2,8.07,1,5,0,0,4,3,1,0,65.3,Data Scientist,23.8,2,2,3.2108436531709366
Tier 2,6.79,0,1,0,0,1,2,2,1,55.2,ML Engineer,10.14,2,5,2.410542234499138
Tier 2,8.05,0,1,0,1,1,1,2,0,57.1,Software Engineer,18.65,2,6,2.9780773383152703
Tier 2,6.33,0,2,0,1,2,0,1,1,45.2,Software Engineer,8.81,2,6,2.2834022735772717
Tier 2,7.42,0,1,0,2,3,1,1,1,50.9,DevOps Engineer,16.34,2,3,2.853015971352396
Tier 3,7.82,1,5,0,2,3,0,0,2,52.1,Data Analyst,5.81,1,1,1.918392120161421
Tier 2,6.41,0,2,1,1,3,2,1,1,54.6,Software Engineer,9.61,2,6,2.3617969526258915
Tier 2,7.35,0,1,1,3,2,1,0,1,56.0,Data Scientist,14.82,2,2,2.761274962339508
Tier 2,7.48,0,2,1,1,4,0,1,1,54.7,Web Developer,9.77,2,7,2.3767644911682972
Tier 2,6.3,0,2,0,0,2,0,2,1,52.1,Software Engineer,7.94,2,6,2.190535589185423
Tier 2,6.95,1,4,0,0,2,1,2,1,46.6,Web Developer,10.01,2,7,2.3988039507345884
Tier 2,8.06,1,0,0,2,0,0,2,3,48.7,Web Developer,10.31,2,7,2.425687290128029
Tier 2,7.3,0,1,1,1,2,0,0,1,46.6,Data Scientist,6.62,2,2,2.030776369698555
Tier 3,7.14,1,0,1,1,1,1,1,3,54.4,Software Engineer,11.43,1,6,2.5201129055226197
Tier 3,6.86,2,5,1,4,1,1,1,1,53.1,Software Engineer,9.51,1,6,2.3523271848888596
Tier 2,6.53,0,3,1,0,1,0,1,3,46.1,Software Engineer,7.1,2,6,2.0918640616783932
Tier 2,6.78,3,3,0,0,2,3,1,1,51.3,Data Scientist,9.92,2,2,2.390595970316759
Tier 2,7.71,1,1,0,2,2,1,1,0,48.4,DevOps Engineer,15.98,2,3,2.8320361808832013
Tier 3,5.36,0,0,2,4,3,1,0,1,51.5,Junior Developer,4.46,1,4,1.6974487897568136
Tier 3,7.11,1,0,1,0,2,0,1,1,51.9,Web Developer,7.02,1,7,2.081938421878423
Tier 3,4.91,3,3,0,2,2,0,0,1,37.3,Junior Developer,3.92,1,4,1.5933085305042167
Tier 2,6.43,2,2,0,0,3,0,1,1,51.0,Software Engineer,7.86,2,6,2.1815467646169897
Tier 3,6.51,1,1,2,0,2,1,0,0,55.3,Software Engineer,8.63,1,6,2.2648832258100344
Tier 1,7.06,2,1,1,1,2,2,1,2,59.4,Data Scientist,16.13,3,2,2.8408313123360287
Tier 1,5.13,0,0,0,2,0,0,0,1,42.8,Junior Developer,3.24,3,4,1.4445632692438664
Tier 3,6.53,0,1,1,2,3,1,0,0,50.8,Software Engineer,9.68,1,6,2.3683728335320486
Tier 3,5.48,2,3,3,2,3,1,0,0,50.9,Junior Developer,3.95,1,4,1.599387576580599
Tier 2,7.91,0,1,2,2,4,3,0,1,75.6,Data Scientist,16.32,2,2,2.851861903134289
Tier 2,6.12,1,2,1,0,1,0,1,4,44.6,Web Developer,8.12,2,7,2.21046980408624
Tier 3,7.3,0,1,0,2,1,0,1,0,49.2,Data Scientist,7.05,1,2,2.0856720914304723
Tier 3,6.29,0,2,1,2,3,1,2,0,47.5,Backend Developer,10.29,1,0,2.4239173781615704
Tier 2,5.77,0,3,1,1,3,2,0,2,38.5,Web Developer,5.82,2,7,1.9198594718553708
Tier 3,7.81,0,2,0,1,3,1,1,0,54.8,Software Engineer,13.09,1,6,2.645465325910589
Tier 2,6.17,0,2,0,2,3,1,2,1,42.2,Backend Developer,9.77,2,0,2.3767644911682972
Tier 2,5.24,3,1,1,1,0,0,1,0,34.2,Junior Developer,3.78,2,4,1.5644405465033644
Tier 3,8.34,2,2,0,1,3,2,0,1,67.5,Data Scientist,17.96,1,2,2.942331496826876
Tier 2,5.86,1,1,0,3,4,1,0,2,41.6,Web Developer,5.5,2,7,1.8718021769015913
Tier 2,6.37,1,2,1,0,0,1,2,0,54.0,Software Engineer,10.1,2,6,2.4069451083182885
Tier 2,6.66,1,1,0,1,3,1,2,0,40.0,Software Engineer,10.3,2,6,2.424802725718295
