college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 1,9.97,0,3,0,0,2,"Node.js, DSA, TensorFlow, Git",2,1,1,75.3,ML Engineer,31.52
Tier 2,6.97,2,2,0,0,0,"Node.js, SQL, JavaScript, Excel, Python",0,2,3,43.8,Data Analyst,7.92
Tier 2,9.16,1,1,1,0,1,"Machine Learning, Deep Learning, Git",2,0,1,75.3,Data Scientist,24.74
Tier 3,7.43,3,1,1,3,1,DSA,1,0,0,50.9,Software Engineer,12.5
Tier 2,7.74,1,4,0,1,0,Machine Learning,1,0,0,63.8,Data Scientist,15.92
Tier 3,5.0,3,1,1,2,4,AWS,0,1,0,38.3,Junior Developer,3.13
Tier 3,8.77,1,2,0,1,2,"Machine Learning, Django, JavaScript",1,1,1,72.3,Data Scientist,18.59
Tier 1,8.27,1,1,0,2,2,"Django, Deep Learning, PyTorch",2,1,0,65.7,ML Engineer,24.14
Tier 2,7.09,0,2,1,0,1,"Node.js, Docker, Excel, HTML/CSS, Python",0,3,2,43.2,Data Analyst,10.65
Tier 1,8.47,2,2,0,1,2,"Linux, SQL, TensorFlow, Node.js",1,1,2,62.6,Data Scientist,23.69
Tier 2,6.77,1,3,3,2,1,"HTML/CSS, SQL, Git",0,0,3,49.6,Web Developer,6.73
Tier 3,5.75,0,2,1,1,5,"TensorFlow, Django, Machine Learning, Linux",2,1,1,49.3,Web Developer,6.32
Tier 3,8.33,0,3,2,4,3,"Excel, DSA",1,0,1,68.2,Software Engineer,13.97
Tier 2,7.68,2,1,0,0,1,"Django, SQL, PyTorch, Java",1,2,1,65.7,Backend Developer,15.75
Tier 2,5.81,0,1,0,3,3,"Docker, Excel, Django",0,2,1,29.9,Web Developer,4.38
Tier 2,5.03,1,5,0,0,3,TensorFlow,1,0,0,35.4,Junior Developer,4.42
Tier 2,4.97,0,2,0,2,1,Linux,0,0,1,34.3,Junior Developer,3.77
Tier 1,5.84,0,2,1,3,0,Git,0,0,1,43.2,Web Developer,4.84
Tier 2,8.45,1,1,0,3,3,"Linux, Python",0,1,1,61.1,Data Scientist,10.2
Tier 2,7.33,1,1,2,0,0,"Python, HTML/CSS, JavaScript",0,1,2,57.4,Web Developer,8.93
Tier 2,5.16,1,2,1,2,1,Excel,0,0,1,37.5,Junior Developer,3.69
Tier 3,6.36,1,0,0,1,1,"TensorFlow, Java, Python, DSA, Git",2,2,1,49.6,Software Engineer,9.94
Tier 2,6.09,1,4,0,4,1,TensorFlow,1,0,0,46.8,Software Engineer,10.17
Tier 3,7.09,0,2,0,2,3,"Java, DSA, Git, Python",1,2,1,48.2,Software Engineer,13.9
Tier 2,8.46,1,0,1,3,1,"SQL, Excel",0,0,2,59.9,Data Analyst,6.19
Tier 2,6.71,2,2,2,2,1,"Django, TensorFlow, Docker, Deep Learning",2,2,0,52.8,Data Scientist,10.35
Tier 3,7.68,0,0,0,0,4,"Django, AWS, Machine Learning, Excel",1,2,1,60.8,Data Scientist,13.28
Tier 3,7.98,2,2,0,0,0,"Excel, Django",0,1,1,58.4,Data Analyst,9.24
Tier 3,4.84,1,0,1,2,0,"JavaScript, Git, Deep Learning",1,0,2,34.6,Junior Developer,4.44
Tier 1,8.79,0,1,2,0,0,"PyTorch, Linux",1,0,1,62.5,DevOps Engineer,19.71
Tier 1,6.53,3,2,1,2,2,Python,0,1,0,46.6,Software Engineer,8.26
Tier 1,7.91,0,2,0,1,1,"AWS, JavaScript, Git",0,1,2,55.3,Web Developer,10.57
Tier 3,7.14,2,1,0,2,3,"Excel, TensorFlow, React, Django",1,2,1,49.1,Data Scientist,15.38
Tier 2,5.66,1,1,2,4,1,Machine Learning,1,0,0,44.1,Web Developer,6.52
Tier 2,6.73,0,1,0,0,3,"Docker, AWS",0,2,0,47.6,DevOps Engineer,8.36
Tier 1,6.21,1,1,2,0,0,"Git, DSA, Docker, Django, JavaScript",1,2,2,50.5,Software Engineer,10.39
Tier 3,5.5,0,4,2,4,1,"Django, React, PyTorch, AWS",1,3,0,40.0,Web Developer,6.17
Tier 2,6.75,0,2,2,0,2,"TensorFlow, React, Machine Learning, Git, DSA",3,1,1,63.6,Data Scientist,9.83
Tier 3,6.8,1,4,3,0,0,"Excel, PyTorch, Machine Learning, Deep Learning",3,0,1,61.0,Data Scientist,10.24
Tier 3,7.69,0,4,0,1,4,"Docker, React",0,2,0,52.6,Software Engineer,10.39
Tier 2,7.99,1,2,0,2,3,"Java, Docker, Django, HTML/CSS, Python",0,4,1,51.3,Backend Developer,10.16
Tier 3,7.78,1,1,0,3,4,"Linux, Machine Learning",1,0,1,50.8,Data Scientist,13.96
Tier 3,6.34,1,3,2,2,0,"Docker, SQL, Machine Learning, Django",1,2,1,61.2,Backend Developer,10.33
Tier 3,6.22,2,1,0,1,1,"AWS, Java",0,2,0,44.5,Software Engineer,8.04
Tier 3,9.23,1,2,0,1,1,"JavaScript, TensorFlow",1,0,1,63.2,Data Scientist,17.34
Tier 2,7.93,1,2,2,2,0,JavaScript,0,0,1,56.5,Web Developer,6.29
Tier 2,4.0,2,1,3,0,1,"TensorFlow, Node.js, HTML/CSS",1,1,1,31.2,Junior Developer,4.61
Tier 1,6.73,0,2,1,1,0,"Excel, Linux, Deep Learning, HTML/CSS",1,0,3,39.0,Web Developer,10.27
Tier 2,7.88,0,4,0,1,3,"Django, Deep Learning",1,1,0,57.8,Data Scientist,15.6
Tier 2,9.9,2,0,0,1,3,"Deep Learning, Excel",1,0,1,75.4,Data Scientist,24.41
Tier 3,7.21,1,2,2,1,2,AWS,0,1,0,48.6,DevOps Engineer,7.16
Tier 3,7.07,1,2,0,2,4,"PyTorch, DSA",2,0,0,59.1,ML Engineer,15.34
Tier 2,6.93,2,0,2,2,2,"Python, Docker, AWS",0,3,0,44.8,DevOps Engineer,8.56
Tier 1,8.3,1,2,1,3,2,Git,0,0,1,53.3,Data Scientist,6.53
Tier 2,9.48,0,6,1,2,0,"Deep Learning, JavaScript, DSA, Java, React",2,2,1,69.0,ML Engineer,29.73
Tier 3,10.0,2,2,1,2,2,"Django, Excel, Java",0,2,1,76.5,Software Engineer,10.39
Tier 3,5.8,2,1,0,2,3,"JavaScript, Django",0,1,1,38.1,Web Developer,4.81
Tier 2,7.16,0,3,0,1,3,"Excel, DSA, Java, Python",1,2,1,44.4,Software Engineer,16.04
Tier 2,8.23,4,3,0,1,4,AWS,0,1,0,51.0,DevOps Engineer,10.24
Tier 2,6.89,2,5,2,2,0,Python,0,1,0,50.1,Software Engineer,8.55
Tier 1,6.73,0,2,0,1,0,"Linux, Java, TensorFlow",1,1,1,49.4,Software Engineer,10.29
Tier 1,9.05,1,0,0,1,4,"Linux, Java",0,1,1,65.1,Software Engineer,10.75
Tier 3,7.32,3,2,1,3,2,"Django, HTML/CSS, Git, PyTorch, Machine Learning",2,1,2,62.4,Data Scientist,15.71
Tier 3,7.04,1,5,0,1,1,"HTML/CSS, AWS, Git, DSA, JavaScript",1,1,3,51.1,Web Developer,14.19
Tier 2,5.31,1,1,0,0,1,"Java, React",0,2,0,36.8,Junior Developer,3.51
Tier 3,6.1,2,2,0,1,3,"PyTorch, Excel, Deep Learning, Git",2,0,2,48.7,Data Analyst,9.8
Tier 3,5.35,2,4,0,1,1,"TensorFlow, HTML/CSS, JavaScript, Linux",1,0,3,32.2,Junior Developer,4.98
Tier 3,8.08,0,2,0,2,0,"PyTorch, SQL, Git, Django, Node.js",1,2,2,63.1,Data Analyst,13.15
Tier 2,8.47,0,1,1,3,1,"DSA, HTML/CSS",1,0,1,69.1,Software Engineer,16.87
Tier 3,7.13,0,1,0,1,0,"DSA, PyTorch, Python",2,1,0,48.1,Data Scientist,13.38
Tier 3,8.03,2,2,1,4,2,"Docker, Node.js, Excel, PyTorch, Linux",1,2,2,66.6,DevOps Engineer,17.55
Tier 2,7.94,1,1,0,2,0,"Deep Learning, Docker, Django",1,2,0,66.1,Data Scientist,16.42
Tier 3,6.33,1,3,2,0,1,"React, Python, Linux, JavaScript",0,2,2,43.3,Software Engineer,7.72
Tier 1,7.01,1,0,0,0,0,Machine Learning,1,0,0,51.8,Data Scientist,16.48
Tier 2,7.67,0,4,1,2,2,"Machine Learning, Django",1,1,0,56.2,Data Scientist,16.52
Tier 1,9.68,2,1,0,0,1,"Git, Docker, DSA, JavaScript, Django",1,2,2,72.1,Software Engineer,22.15
Tier 2,8.15,0,3,2,2,1,Java,0,1,0,47.9,Software Engineer,11.19
Tier 3,5.2,0,5,1,1,2,Docker,0,1,0,38.3,Junior Developer,3.59
Tier 2,8.35,1,1,1,2,5,"Deep Learning, HTML/CSS, SQL, React",1,1,2,62.2,Web Developer,15.75
Tier 1,6.75,1,3,1,3,0,SQL,0,0,1,42.4,Data Analyst,5.99
Tier 2,6.25,0,1,3,0,3,"DSA, PyTorch, Java, AWS",2,2,0,56.1,Software Engineer,10.24
Tier 2,7.91,3,0,0,0,2,"DSA, JavaScript",1,0,1,55.4,Software Engineer,15.91
Tier 1,4.73,0,3,0,1,1,"PyTorch, Excel",1,0,1,38.2,Junior Developer,4.75
Tier 2,6.77,0,1,3,1,3,Java,0,1,0,44.1,Software Engineer,6.82
Tier 2,5.67,3,1,1,1,0,"Java, DSA, Linux, Docker",1,2,1,47.6,Web Developer,5.84
Tier 2,7.18,1,0,0,0,2,"AWS, Java, TensorFlow, Docker",1,3,0,58.4,DevOps Engineer,15.74
Tier 3,6.21,0,2,2,3,2,"PyTorch, Docker, DSA, Java, AWS",2,3,0,50.0,Software Engineer,10.43
Tier 2,8.11,0,1,2,2,0,"HTML/CSS, AWS, Django, Java, JavaScript, Deep Learning",1,3,2,63.8,Web Developer,15.76
Tier 2,6.83,2,1,1,0,4,"Node.js, TensorFlow",1,1,0,49.6,Software Engineer,9.89
Tier 2,9.52,1,2,0,2,3,AWS,0,1,0,65.0,DevOps Engineer,10.58
Tier 1,6.35,0,2,0,1,0,"HTML/CSS, Machine Learning, SQL",1,0,2,47.6,Web Developer,9.93
Tier 2,5.81,1,2,2,1,4,"Python, Excel, AWS",0,2,1,39.5,Junior Developer,4.86
Tier 3,8.18,1,1,0,3,4,"PyTorch, HTML/CSS, Git, Deep Learning",2,0,2,61.5,ML Engineer,17.11
Tier 1,6.78,0,1,1,0,6,"React, AWS",0,2,0,41.2,Software Engineer,7.82
Tier 3,6.55,2,1,1,1,2,"Excel, Deep Learning, Java, React, SQL",1,2,2,48.3,Software Engineer,10.3
Tier 1,6.91,1,1,1,0,2,"Node.js, React",0,2,0,58.5,Software Engineer,8.0
Tier 2,6.77,2,1,0,1,0,"JavaScript, Python",0,1,1,45.6,Junior Developer,8.13
Tier 2,7.45,0,4,1,1,1,"Java, Python, AWS",0,3,0,53.0,Software Engineer,10.41
Tier 2,7.66,5,1,1,2,3,"SQL, Linux",0,0,2,50.7,Data Analyst,6.02
Tier 2,7.73,0,2,0,0,2,React,0,1,0,50.3,Software Engineer,9.93
Tier 3,5.39,4,2,0,1,2,TensorFlow,1,0,0,33.7,Junior Developer,4.04
Tier 2,7.04,0,0,0,3,2,"HTML/CSS, Python, Docker, TensorFlow",1,2,1,49.3,Data Scientist,16.29
Tier 2,7.94,2,3,0,0,2,"JavaScript, HTML/CSS, Git",0,0,3,54.1,Web Developer,6.4
Tier 2,7.85,1,4,0,2,1,"Git, Python, Excel, AWS, Java",0,3,2,56.7,Software Engineer,10.25
Tier 3,6.19,1,1,0,0,3,JavaScript,0,0,1,43.5,Web Developer,6.03
Tier 1,7.56,1,3,0,4,2,"Excel, Git, Machine Learning, Linux",1,0,3,65.9,Data Scientist,16.11
Tier 2,7.58,2,2,1,0,2,"Machine Learning, Git, PyTorch, TensorFlow",3,0,1,62.2,Data Scientist,16.32
Tier 2,8.19,2,4,0,3,4,"Docker, Deep Learning, Java",1,2,0,63.6,Backend Developer,17.44
Tier 3,6.15,0,1,2,1,3,"TensorFlow, JavaScript",1,0,1,54.3,Web Developer,8.92
Tier 1,7.05,1,3,1,1,3,AWS,0,1,0,54.9,DevOps Engineer,10.98
Tier 2,7.08,0,1,1,2,2,"Django, Linux",0,1,1,46.4,DevOps Engineer,8.99
Tier 3,8.48,0,4,0,2,1,"Django, TensorFlow, Machine Learning",2,1,0,69.1,Data Scientist,17.86
Tier 2,7.04,0,1,0,2,2,Python,0,1,0,45.5,Data Scientist,9.77
Tier 1,5.26,0,3,0,0,2,"DSA, Django, Python",1,2,0,49.2,Junior Developer,4.9
Tier 2,5.44,0,3,1,1,2,"PyTorch, SQL, DSA, Deep Learning",3,0,1,54.2,Junior Developer,4.67
Tier 3,7.41,0,3,0,1,4,"Docker, Git",0,1,1,47.5,DevOps Engineer,8.97
Tier 2,7.38,1,2,0,2,1,"Excel, Python",0,1,1,52.6,Data Analyst,10.49
Tier 3,6.72,1,1,0,1,4,DSA,1,0,0,53.5,Software Engineer,10.14
Tier 3,7.09,0,4,0,3,4,"Git, Docker, JavaScript, Machine Learning",1,1,2,57.3,Data Scientist,14.85
Tier 2,7.83,1,3,1,1,2,AWS,0,1,0,58.8,DevOps Engineer,10.4
Tier 2,7.3,1,1,0,0,1,"AWS, Excel, Git",0,1,2,49.2,Data Analyst,10.44
Tier 2,7.2,1,1,0,2,3,"Node.js, HTML/CSS, Git, Java, Excel",0,2,3,44.7,Software Engineer,9.99
Tier 3,7.85,1,2,0,5,1,"Machine Learning, AWS, PyTorch, DSA",3,1,0,67.0,ML Engineer,15.7
Tier 1,7.64,1,0,0,0,3,"Python, Java",0,2,0,49.9,Software Engineer,10.02
Tier 2,6.74,1,1,1,0,4,"JavaScript, Git, Deep Learning, HTML/CSS, PyTorch",2,0,3,53.6,Data Scientist,10.56
Tier 3,7.47,1,3,0,0,1,"Docker, DSA, Python",1,2,0,51.8,Software Engineer,14.12
Tier 1,5.81,1,1,1,1,3,"Excel, Deep Learning",1,0,1,47.9,Web Developer,6.08
Tier 1,9.11,3,2,0,3,3,SQL,0,0,1,68.0,Data Analyst,5.73
Tier 3,6.27,1,3,0,1,0,"DSA, Docker",1,1,0,48.9,Software Engineer,9.82
Tier 1,4.35,2,0,0,2,3,React,0,1,0,32.7,Junior Developer,4.04
Tier 3,7.85,2,3,0,5,3,"Machine Learning, PyTorch, React, Deep Learning, TensorFlow",4,1,0,74.9,Data Scientist,16.54
Tier 2,6.74,0,1,0,0,3,"Deep Learning, Machine Learning, Java, Node.js",2,2,0,56.3,Data Scientist,9.86
Tier 3,8.39,2,3,0,1,2,"Git, Django, Java, PyTorch, Excel",1,2,2,60.6,Software Engineer,18.05
Tier 2,5.52,3,0,1,1,1,Linux,0,0,1,37.0,Web Developer,4.95
Tier 2,6.35,1,7,1,0,6,"PyTorch, DSA, Java, Python",2,2,0,52.8,Software Engineer,9.97
Tier 2,6.4,0,0,0,2,2,Node.js,0,1,0,47.9,Software Engineer,8.4
Tier 1,7.46,1,5,1,1,4,JavaScript,0,0,1,57.7,Web Developer,6.74
Tier 3,7.66,2,3,1,3,1,"React, Python, Node.js",0,3,0,59.8,Software Engineer,10.91
Tier 2,7.68,1,2,1,5,1,"Python, Java",0,2,0,49.4,Software Engineer,9.9
Tier 3,7.65,2,1,0,1,4,"Docker, Django, AWS, HTML/CSS",0,3,1,56.7,DevOps Engineer,10.16
Tier 2,8.07,1,5,0,0,4,"AWS, DSA, PyTorch, TensorFlow",3,1,0,65.3,Data Scientist,23.8
Tier 2,6.79,0,1,0,0,1,"Deep Learning, HTML/CSS, DSA, Node.js, React",2,2,1,55.2,ML Engineer,10.14
Tier 2,8.05,0,1,0,1,1,"DSA, Java, AWS",1,2,0,57.1,Software Engineer,18.65
Tier 2,6.33,0,2,0,1,2,"Linux, Java",0,1,1,45.2,Software Engineer,8.81
Tier 2,7.42,0,1,0,2,3,"Docker, Linux, PyTorch",1,1,1,50.9,DevOps Engineer,16.34
Tier 3,7.82,1,5,0,2,3,"Git, Excel",0,0,2,52.1,Data Analyst,5.81
Tier 2,6.41,0,2,1,1,3,"Deep Learning, Python, TensorFlow, Git",2,1,1,54.6,Software Engineer,9.61
Tier 2,7.35,0,1,1,3,2,"Linux, Machine Learning",1,0,1,56.0,Data Scientist,14.82
Tier 2,7.48,0,2,1,1,4,"JavaScript, Docker",0,1,1,54.7,Web Developer,9.77
Tier 2,6.3,0,2,0,0,2,"Java, Django, JavaScript",0,2,1,52.1,Software Engineer,7.94
Tier 2,6.95,1,4,0,0,2,"HTML/CSS, PyTorch, React, Django",1,2,1,46.6,Web Developer,10.01
Tier 2,8.06,1,0,0,2,0,"Git, JavaScript, Node.js, SQL, AWS",0,2,3,48.7,Web Developer,10.31
Tier 2,7.3,0,1,1,1,2,Git,0,0,1,46.6,Data Scientist,6.62
Tier 3,7.14,1,0,1,1,1,"Excel, Python, Linux, JavaScript, DSA",1,1,3,54.4,Software Engineer,11.43
Tier 3,6.86,2,5,1,4,1,"Deep Learning, JavaScript, Java",1,1,1,53.1,Software Engineer,9.51
Tier 2,6.53,0,3,1,0,1,"Java, JavaScript, Linux, Git",0,1,3,46.1,Software Engineer,7.1
Tier 2,6.78,3,3,0,0,2,"Java, Linux, TensorFlow, DSA, Deep Learning",3,1,1,51.3,Data Scientist,9.92
Tier 2,7.71,1,1,0,2,2,"PyTorch, AWS",1,1,0,48.4,DevOps Engineer,15.98
Tier 3,5.36,0,0,2,4,3,"Deep Learning, JavaScript",1,0,1,51.5,Junior Developer,4.46
Tier 3,7.11,1,0,1,0,2,"JavaScript, AWS",0,1,1,51.9,Web Developer,7.02
Tier 3,4.91,3,3,0,2,2,Excel,0,0,1,37.3,Junior Developer,3.92
Tier 2,6.43,2,2,0,0,3,"HTML/CSS, Java",0,1,1,51.0,Software Engineer,7.86
Tier 3,6.51,1,1,2,0,2,Deep Learning,1,0,0,55.3,Software Engineer,8.63
Tier 1,7.06,2,1,1,1,2,"React, Machine Learning, DSA, SQL, HTML/CSS",2,1,2,59.4,Data Scientist,16.13
Tier 1,5.13,0,0,0,2,0,Git,0,0,1,42.8,Junior Developer,3.24
Tier 3,6.53,0,1,1,2,3,Deep Learning,1,0,0,50.8,Software Engineer,9.68
Tier 3,5.48,2,3,3,2,3,PyTorch,1,0,0,50.9,Junior Developer,3.95
Tier 2,7.91,0,1,2,2,4,"Excel, TensorFlow, PyTorch, Machine Learning",3,0,1,75.6,Data Scientist,16.32
Tier 2,6.12,1,2,1,0,1,"Git, AWS, JavaScript, HTML/CSS, SQL",0,1,4,44.6,Web Developer,8.12
Tier 3,7.3,0,1,0,2,1,Node.js,0,1,0,49.2,Data Scientist,7.05
Tier 3,6.29,0,2,1,2,3,"Docker, TensorFlow, AWS",1,2,0,47.5,Backend Developer,10.29
Tier 2,5.77,0,3,1,1,3,"HTML/CSS, Deep Learning, DSA, JavaScript",2,0,2,38.5,Web Developer,5.82
Tier 3,7.81,0,2,0,1,3,"Docker, DSA",1,1,0,54.8,Software Engineer,13.09
