college_tier,cgpa,internships,projects,backlogs,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 3,6.29,0,1,1,"DSA, React, Node.js",1,2,0,43.7,Software Engineer,10.12
Tier 2,6.9,2,1,2,"TensorFlow, DSA",2,0,0,61.0,ML Engineer,9.77
Tier 1,6.32,1,1,1,PyTorch,1,0,0,43.2,Software Engineer,9.66
Tier 2,7.32,1,0,0,Linux,0,0,1,48.2,DevOps Engineer,6.63
Tier 3,8.33,1,2,2,"Docker, Linux, PyTorch, Python, React",1,3,1,66.2,Software Engineer,16.15
Tier 2,7.11,0,0,1,"AWS, Deep Learning",1,1,0,53.2,Data Scientist,12.23
Tier 3,6.29,0,1,1,"Linux, Django, HTML/CSS, Machine Learning",1,1,2,51.0,Web Developer,10.26
Tier 3,6.61,1,2,0,"Linux, Git, PyTorch, DSA, Django",2,1,2,54.4,ML Engineer,10.5
Tier 3,7.39,1,2,1,"Deep Learning, Node.js",1,1,0,54.6,Data Scientist,12.46
Tier 1,6.52,2,2,0,Python,0,1,0,49.8,Software Engineer,7.74
Tier 2,7.09,2,1,1,Deep Learning,1,0,0,51.2,Data Scientist,13.94
Tier 2,6.47,0,2,2,"Excel, Django, TensorFlow, Java",1,2,1,45.4,Software Engineer,9.63
Tier 2,4.87,2,3,3,"PyTorch, DSA",2,0,0,49.6,Junior Developer,4.57
Tier 3,7.53,0,3,2,"Node.js, Python, TensorFlow, PyTorch, Git",2,2,1,73.4,Data Scientist,16.16
Tier 2,6.29,0,1,0,DSA,1,0,0,47.4,Software Engineer,10.26
Tier 3,4.22,1,2,0,"DSA, Git",1,0,1,27.9,Junior Developer,4.46
Tier 3,6.99,2,2,1,"HTML/CSS, Machine Learning, Deep Learning",2,0,1,50.3,Data Scientist,9.76
Tier 2,6.8,2,0,1,"Java, SQL, DSA, Python, Node.js",1,3,1,51.0,Software Engineer,10.05
Tier 2,10.0,0,3,0,SQL,0,0,1,64.5,Data Analyst,6.05
Tier 2,7.24,0,3,1,TensorFlow,1,0,0,59.4,Data Scientist,14.01
Tier 2,7.87,0,0,1,"AWS, Excel, Deep Learning",1,1,1,53.4,Data Scientist,13.27
Tier 3,7.86,0,3,0,"AWS, React, Machine Learning, DSA",2,2,0,57.6,ML Engineer,16.18
Tier 3,7.71,0,0,0,React,0,1,0,52.4,Software Engineer,6.56
Tier 2,9.12,2,1,0,"HTML/CSS, SQL, Python, JavaScript, Java, Deep Learning",1,2,3,71.6,Backend Developer,17.18
Tier 3,8.5,1,2,1,"Linux, Machine Learning, React, Git, Deep Learning",2,1,2,56.7,ML Engineer,17.95
Tier 3,7.18,1,2,0,"Node.js, Linux, Deep Learning",1,1,1,55.1,Data Scientist,13.66
Tier 1,7.02,0,1,1,"DSA, Git",1,0,1,54.9,Software Engineer,13.28
Tier 3,7.66,1,2,0,"Django, Machine Learning",1,1,0,65.7,Data Scientist,14.81
Tier 2,5.8,2,1,0,"Node.js, TensorFlow, React",1,2,0,47.2,Web Developer,5.9
Tier 1,7.24,1,1,0,"Django, Git, Linux, PyTorch",1,1,2,49.8,DevOps Engineer,16.32
Tier 3,5.86,3,0,0,"JavaScript, React, Docker, Node.js",0,3,1,54.2,Web Developer,4.63
Tier 3,7.15,1,2,0,"Excel, Deep Learning, React, HTML/CSS",1,1,2,53.9,Web Developer,14.53
Tier 3,6.25,0,3,1,Linux,0,0,1,52.8,Software Engineer,5.46
Tier 2,6.73,2,4,1,"Java, Git, Machine Learning, DSA",2,1,1,59.2,Data Scientist,10.04
Tier 2,7.54,4,2,0,"PyTorch, HTML/CSS, Python, Excel, Django",1,2,2,55.7,Data Analyst,13.07
Tier 2,6.63,0,3,0,"PyTorch, Excel",1,0,1,57.6,Data Analyst,10.06
Tier 3,8.24,2,0,1,"PyTorch, Docker, React",1,2,0,54.3,Software Engineer,14.88
Tier 3,8.28,3,3,3,SQL,0,0,1,65.9,Data Analyst,6.24
Tier 3,6.5,0,1,0,"PyTorch, Django",1,1,0,48.1,Software Engineer,9.99
Tier 3,7.28,1,3,0,"Deep Learning, Django",1,1,0,66.5,Data Scientist,14.33
Tier 1,8.4,1,1,0,"Linux, Docker",0,1,1,66.9,DevOps Engineer,10.21
Tier 2,8.43,0,5,1,"React, AWS, Docker, PyTorch, Java, Machine Learning",2,4,0,68.7,ML Engineer,23.89
Tier 3,6.15,1,1,1,PyTorch,1,0,0,43.5,Software Engineer,8.81
Tier 2,8.3,1,2,1,"AWS, HTML/CSS, React",0,2,1,55.5,Web Developer,10.47
Tier 2,6.98,1,3,0,"SQL, HTML/CSS, Deep Learning, Node.js, Machine Learning",2,1,2,62.8,ML Engineer,10.07
Tier 2,7.37,3,5,2,"JavaScript, AWS, Machine Learning, Java, Python",1,3,1,54.8,Data Scientist,16.04
Tier 2,8.45,0,3,0,"HTML/CSS, Django, React, JavaScript, SQL",0,2,3,55.1,Web Developer,10.46
Tier 3,7.06,1,3,1,"Docker, DSA, HTML/CSS, Git",1,1,2,52.9,Software Engineer,13.81
Tier 2,7.73,0,2,0,"React, HTML/CSS",0,1,1,55.0,Web Developer,10.19
Tier 3,7.21,1,1,4,"Java, AWS, React",0,3,0,58.3,Software Engineer,6.81
Tier 2,6.33,0,3,2,"JavaScript, React, Linux, Deep Learning, HTML/CSS",1,1,3,57.7,Web Developer,10.07
Tier 2,6.32,1,2,2,"Django, SQL, JavaScript, TensorFlow, Docker",1,2,2,40.6,Backend Developer,9.79
Tier 3,6.95,1,1,1,"PyTorch, Deep Learning, Excel",2,0,1,57.9,Data Scientist,9.98
Tier 2,8.34,1,6,0,"Linux, Django, HTML/CSS",0,1,2,59.4,Web Developer,10.61
Tier 1,6.89,0,0,1,"Git, Django, HTML/CSS",0,1,2,55.4,Web Developer,7.99
Tier 2,5.28,0,2,0,"Excel, Machine Learning, Java",1,1,1,39.6,Junior Developer,4.49
Tier 3,6.79,1,4,1,"JavaScript, Linux, Excel",0,0,3,44.1,Web Developer,6.4
Tier 3,5.61,2,0,0,"Java, AWS, JavaScript",0,2,1,34.9,Web Developer,4.81
Tier 2,6.68,0,1,2,"Docker, Linux, Deep Learning, Excel",1,1,2,50.3,DevOps Engineer,9.85
Tier 2,6.47,0,2,1,React,0,1,0,54.3,Software Engineer,7.64
Tier 3,7.47,1,1,1,"Django, Machine Learning, React",1,2,0,59.7,Data Scientist,13.53
Tier 3,8.58,1,1,0,"TensorFlow, Linux, Deep Learning, Git",2,0,2,64.8,Data Scientist,20.51
Tier 2,6.62,1,2,1,"React, Machine Learning, Git",1,1,1,52.5,Software Engineer,9.72
Tier 3,7.9,3,1,0,"Python, HTML/CSS, PyTorch, Django, React",1,3,1,58.0,Software Engineer,15.5
Tier 2,7.48,1,1,1,"DSA, AWS",1,1,0,59.6,Software Engineer,14.9
Tier 2,8.26,1,4,0,"Java, HTML/CSS, Linux, Git, Deep Learning",1,1,3,69.2,Data Scientist,21.57
Tier 1,6.25,2,2,2,"PyTorch, DSA, Linux, TensorFlow",3,0,1,57.7,Software Engineer,9.95
Tier 1,8.27,1,1,0,"Machine Learning, HTML/CSS, Excel, Django, DSA",2,1,2,59.4,ML Engineer,24.35
Tier 3,6.44,2,0,0,"Docker, HTML/CSS, Node.js",0,2,1,46.8,Web Developer,7.37
Tier 3,7.31,1,2,0,"Deep Learning, Docker, Machine Learning, Excel",2,1,1,63.4,Data Scientist,16.37
Tier 2,8.46,3,0,0,"HTML/CSS, PyTorch, JavaScript",1,0,2,62.8,Web Developer,15.41
Tier 2,6.17,1,0,2,"React, AWS",0,2,0,40.2,Software Engineer,6.76
Tier 2,7.17,2,2,0,Java,0,1,0,52.5,Software Engineer,10.73
Tier 3,5.75,0,2,1,PyTorch,1,0,0,43.3,Web Developer,6.07
Tier 3,8.04,2,3,2,"Machine Learning, Deep Learning",2,0,0,66.8,Data Scientist,16.98
Tier 3,5.63,1,0,2,"Excel, Java, JavaScript",0,1,2,39.1,Web Developer,4.9
Tier 2,7.39,2,1,1,"Linux, SQL, Deep Learning, Git",1,0,3,57.8,Data Scientist,15.59
Tier 1,7.76,1,0,0,"Django, DSA",1,1,0,51.9,Software Engineer,15.51
Tier 2,5.94,1,1,0,"Excel, Node.js",0,1,1,49.3,Web Developer,5.29
Tier 2,8.21,1,3,0,"Linux, Node.js",0,1,1,51.7,DevOps Engineer,9.94
Tier 1,8.73,1,4,0,AWS,0,1,0,52.0,DevOps Engineer,10.32
Tier 3,7.47,1,2,0,"Java, Deep Learning",1,1,0,51.9,Data Scientist,13.39
Tier 3,8.17,1,2,0,"JavaScript, Java, Git, TensorFlow, SQL",1,1,3,58.1,Backend Developer,15.9
Tier 2,6.81,1,2,1,SQL,0,0,1,47.6,Data Analyst,6.57
Tier 2,7.27,0,5,0,"Django, Deep Learning, DSA",2,1,0,65.7,ML Engineer,15.58
Tier 2,9.1,2,2,1,"Python, Git, Machine Learning",1,1,1,64.3,Data Scientist,22.92
Tier 3,6.0,1,3,0,"AWS, SQL, Machine Learning, Java",1,2,1,56.7,Backend Developer,10.37
Tier 2,8.95,1,2,1,Java,0,1,0,58.6,Software Engineer,10.89
Tier 2,9.01,2,0,1,"Node.js, HTML/CSS, PyTorch, Deep Learning",2,1,1,68.3,Data Scientist,24.09
Tier 2,6.76,0,2,0,"Excel, SQL",0,0,2,44.4,Data Analyst,6.34
Tier 2,6.09,1,4,0,"Docker, AWS",0,2,0,42.8,Backend Developer,8.21
Tier 2,9.34,1,0,0,"Linux, Java, PyTorch, Excel, SQL",1,1,3,64.4,Data Analyst,13.39
Tier 3,5.9,1,4,1,"JavaScript, SQL, Excel, Git",0,0,4,41.7,Web Developer,5.16
Tier 1,7.17,1,0,1,"JavaScript, Django, PyTorch, AWS",1,2,1,56.7,Web Developer,15.57
Tier 3,5.72,0,0,2,"AWS, Linux",0,1,1,35.6,Web Developer,3.22
Tier 3,4.42,1,4,1,"React, DSA, TensorFlow",2,1,0,36.7,Junior Developer,4.85
Tier 3,7.68,0,0,0,"Machine Learning, Deep Learning, AWS",2,1,0,64.8,ML Engineer,15.04
Tier 2,5.92,0,3,3,"TensorFlow, HTML/CSS, Linux",1,0,2,42.2,Web Developer,6.16
Tier 2,4.0,0,1,0,"Deep Learning, React, TensorFlow",2,1,0,36.3,Junior Developer,4.65
Tier 2,7.06,1,2,1,"Django, PyTorch, React, Python, Java",1,4,0,61.1,Software Engineer,16.37
Tier 3,6.74,0,1,2,"React, SQL, Machine Learning, Node.js, Excel",1,2,2,58.6,Data Analyst,9.82
Tier 2,6.64,1,4,1,Django,0,1,0,41.3,Software Engineer,7.94
Tier 2,6.85,0,2,2,"Docker, React, Machine Learning, SQL",1,2,1,56.9,Backend Developer,9.83
Tier 3,4.0,0,2,1,"Linux, Django, Git",0,1,2,27.9,Junior Developer,3.76
Tier 2,7.14,2,1,0,"Django, TensorFlow, Java",1,2,0,49.1,Data Scientist,15.95
Tier 2,9.05,1,5,1,"Excel, Docker, PyTorch",1,1,1,70.7,Data Analyst,13.05
Tier 3,9.59,3,0,0,"Java, DSA, Django, Python, Node.js",1,4,0,68.1,Software Engineer,22.14
Tier 2,6.19,1,0,0,"Python, PyTorch, Django",1,2,0,45.5,Software Engineer,10.06
Tier 2,5.38,0,2,0,"JavaScript, Deep Learning, SQL",1,0,2,36.8,Junior Developer,4.58
Tier 1,6.15,1,0,0,PyTorch,1,0,0,50.1,Software Engineer,10.39
Tier 2,5.5,0,4,2,"Node.js, Deep Learning",1,1,0,40.0,Web Developer,6.02
Tier 2,7.32,2,1,0,"Machine Learning, Linux, PyTorch, SQL",2,0,2,54.0,ML Engineer,15.41
Tier 2,9.47,1,0,0,"Docker, Machine Learning",1,1,0,64.8,Data Scientist,21.11
Tier 1,7.98,0,5,0,"Git, HTML/CSS",0,0,2,58.3,Web Developer,6.62
Tier 2,7.8,0,3,0,"Excel, Docker",0,1,1,60.5,Data Analyst,10.52
Tier 3,6.22,1,4,1,"TensorFlow, Excel, Python, PyTorch",2,1,1,60.6,Data Analyst,10.19
Tier 2,7.39,1,1,0,"Node.js, Java, Machine Learning",1,2,0,60.2,Data Scientist,15.94
Tier 3,5.98,1,3,0,"HTML/CSS, SQL",0,0,2,43.2,Web Developer,5.24
Tier 3,5.26,0,3,1,Deep Learning,1,0,0,35.3,Junior Developer,4.57
Tier 1,8.12,1,1,1,"Deep Learning, JavaScript, Java, HTML/CSS, React",1,2,2,58.1,Web Developer,16.17
Tier 2,6.32,1,4,2,"DSA, SQL, Node.js",1,1,1,49.2,Software Engineer,9.95
Tier 3,6.46,3,1,0,"SQL, React, Excel, Linux",0,1,3,41.0,Data Analyst,7.96
Tier 2,7.58,4,2,0,React,0,1,0,46.2,Software Engineer,10.29
Tier 2,8.31,1,1,0,"Machine Learning, Node.js",1,1,0,59.5,Data Scientist,17.49
Tier 3,4.72,1,3,1,"PyTorch, HTML/CSS, Excel",1,0,2,37.9,Junior Developer,4.17
Tier 2,6.94,0,3,1,"SQL, Python, Linux",0,1,2,43.6,Data Analyst,8.09
Tier 2,7.92,1,0,0,"DSA, Python, AWS, Node.js",1,3,0,65.6,Software Engineer,15.74
Tier 2,6.01,1,2,1,Linux,0,0,1,39.4,Software Engineer,6.29
Tier 3,7.12,1,1,2,"Docker, JavaScript, Django",0,2,1,44.2,Web Developer,6.68
Tier 1,6.37,2,1,1,"TensorFlow, Linux",1,0,1,49.0,Software Engineer,10.1
Tier 3,6.03,0,1,2,"TensorFlow, SQL, Deep Learning, PyTorch",3,0,1,52.6,Data Analyst,9.91
Tier 2,7.18,2,2,2,"HTML/CSS, DSA",1,0,1,42.4,Software Engineer,13.13
Tier 1,7.74,0,3,1,Django,0,1,0,64.5,Data Scientist,10.19
Tier 2,6.39,0,2,3,"TensorFlow, AWS",1,1,0,50.3,Software Engineer,9.83
Tier 2,6.93,2,0,2,"Excel, Python, Docker, TensorFlow",1,2,1,48.8,Data Analyst,10.03
Tier 2,5.27,0,4,2,"PyTorch, Excel",1,0,1,45.8,Junior Developer,4.7
Tier 3,8.0,1,2,0,"PyTorch, Python, JavaScript, TensorFlow, Excel, Deep Learning",3,1,2,65.9,Data Scientist,21.4
Tier 3,7.91,0,2,2,Deep Learning,1,0,0,59.0,Data Scientist,10.92
Tier 2,5.73,2,0,1,"Django, Linux, Machine Learning, Excel",1,1,2,46.3,Web Developer,6.17
Tier 2,7.39,0,2,1,TensorFlow,1,0,0,50.7,Data Scientist,13.14
Tier 2,8.58,1,3,1,"Excel, Machine Learning, PyTorch, Linux, React, Java",2,2,2,67.5,ML Engineer,23.93
Tier 2,6.56,0,2,2,Git,0,0,1,45.4,Software Engineer,6.18
Tier 1,7.05,0,3,0,"AWS, SQL, Python, PyTorch, Node.js",1,3,1,54.0,Data Analyst,13.08
Tier 3,7.63,1,3,0,DSA,1,0,0,60.0,Software Engineer,13.65
Tier 1,7.42,2,3,0,"JavaScript, Machine Learning, SQL, Docker",1,1,2,58.4,Backend Developer,16.33
Tier 3,6.86,1,1,1,"SQL, Python, Machine Learning, JavaScript",1,1,2,53.7,Data Analyst,10.06
Tier 3,7.85,0,3,2,"TensorFlow, Excel",1,0,1,56.8,Data Scientist,11.19
Tier 1,7.97,1,2,0,PyTorch,1,0,0,59.7,Data Scientist,15.91
Tier 2,7.96,0,2,2,Django,0,1,0,47.6,Data Scientist,8.41
Tier 3,7.26,0,0,0,Git,0,0,1,51.2,Data Scientist,6.15
Tier 2,5.89,0,5,1,"Python, Excel, TensorFlow",1,1,1,46.4,Junior Developer,6.44
Tier 1,6.58,2,4,1,"React, Machine Learning, PyTorch, AWS, Excel",2,2,1,52.8,ML Engineer,9.28
Tier 1,7.51,2,1,0,"SQL, Linux, Node.js, PyTorch",1,1,2,57.3,Data Analyst,13.07
Tier 3,4.35,0,1,1,"Docker, AWS, Java, Machine Learning",1,3,0,27.4,Junior Developer,4.48
Tier 3,5.19,0,1,0,React,0,1,0,40.1,Junior Developer,3.51
Tier 3,6.1,2,2,0,"Linux, Docker, DSA",1,1,1,42.3,Software Engineer,10.08
Tier 1,7.12,2,1,0,"PyTorch, Python, React, Deep Learning",2,2,0,47.0,Data Scientist,15.59
Tier 1,4.77,2,4,0,AWS,0,1,0,31.0,Junior Developer,3.64
Tier 2,8.93,0,2,0,"Git, DSA",1,0,1,71.0,Software Engineer,21.24
Tier 2,6.41,0,0,0,"Docker, Linux, TensorFlow, Machine Learning, SQL",2,1,2,53.7,Backend Developer,10.13
Tier 2,5.69,1,5,1,Linux,0,0,1,46.9,Web Developer,4.46
Tier 2,7.13,0,1,0,"Django, TensorFlow, HTML/CSS",1,1,1,51.2,Data Scientist,14.33
Tier 1,7.19,0,4,1,"HTML/CSS, JavaScript",0,0,2,45.2,Web Developer,6.7
Tier 2,6.2,1,4,1,"Node.js, Excel",0,1,1,51.3,Data Analyst,8.23
Tier 2,5.82,0,1,1,PyTorch,1,0,0,52.2,Web Developer,6.39
Tier 2,8.67,0,0,0,"Java, Git, SQL, PyTorch, Excel",1,1,3,70.2,Data Analyst,12.84
Tier 2,5.05,0,3,1,"AWS, Java",0,2,0,41.7,Junior Developer,3.76
Tier 3,7.01,1,0,0,"Node.js, Excel, DSA",1,1,1,51.8,Software Engineer,12.42
Tier 3,7.67,0,4,1,"DSA, React, TensorFlow, SQL",2,1,1,60.2,ML Engineer,15.97
Tier 2,7.54,1,1,0,"HTML/CSS, Excel, Machine Learning, Python",1,1,2,64.6,Data Scientist,16.08
Tier 2,6.74,0,1,0,"Java, React, Django, Linux",0,3,1,53.3,Software Engineer,7.62
Tier 2,5.96,2,1,1,"Node.js, HTML/CSS, TensorFlow",1,1,1,33.1,Web Developer,5.91
Tier 2,8.32,1,1,0,TensorFlow,1,0,0,72.0,Data Scientist,15.71
Tier 2,7.29,3,1,1,"Git, Linux, JavaScript, Excel, AWS",0,1,4,47.7,DevOps Engineer,10.66
Tier 2,6.85,3,1,0,"Docker, Python, React, PyTorch",1,3,0,46.1,Software Engineer,9.82
Tier 3,8.65,1,5,0,"Python, TensorFlow",1,1,0,70.4,Data Scientist,19.4
Tier 2,6.84,1,1,1,"Java, React, Node.js",0,3,0,52.9,Software Engineer,8.29
Tier 1,8.32,0,1,1,"Django, PyTorch, Docker",1,2,0,67.0,DevOps Engineer,19.8
Tier 3,7.87,1,6,0,Docker,0,1,0,57.7,DevOps Engineer,10.19
Tier 3,6.11,1,1,2,Java,0,1,0,42.9,Software Engineer,4.93
Tier 1,6.44,2,0,0,"Machine Learning, Django",1,1,0,48.0,Software Engineer,9.52
Tier 1,6.08,0,3,1,"Deep Learning, PyTorch",2,0,0,42.9,Software Engineer,9.96
Tier 2,7.09,1,1,1,SQL,0,0,1,49.7,Data Analyst,7.06
Tier 3,5.45,1,2,2,"Node.js, Java, Excel, Python",0,3,1,32.4,Junior Developer,3.62
Tier 2,6.11,1,0,1,Docker,0,1,0,47.2,Backend Developer,5.95
Tier 2,8.35,0,1,0,"Git, React, AWS, Linux, Java",0,3,2,56.8,Software Engineer,10.45
Tier 3,7.99,0,0,0,Node.js,0,1,0,51.6,Data Scientist,7.59
Tier 3,6.41,0,4,1,"HTML/CSS, Node.js, PyTorch, Django",1,2,1,48.5,Web Developer,10.59
Tier 2,8.88,1,1,2,"AWS, Machine Learning",1,1,0,59.5,Data Scientist,19.34
Tier 3,7.24,0,0,1,"Node.js, HTML/CSS",0,1,1,50.0,Web Developer,5.88
Tier 3,7.0,1,1,1,"Git, Docker, HTML/CSS",0,1,2,52.0,Web Developer,7.42
Tier 2,8.74,2,3,1,Java,0,1,0,57.5,Software Engineer,10.27
Tier 2,8.53,0,3,1,"HTML/CSS, Python",0,1,1,63.8,Data Scientist,10.24
Tier 1,6.8,0,2,0,"React, Docker, TensorFlow",1,2,0,44.0,Software Engineer,9.66
Tier 3,6.74,1,1,2,"Django, AWS, Excel",0,2,1,34.0,Data Analyst,6.06
Tier 2,8.34,2,1,0,"Node.js, SQL, TensorFlow, React",1,2,1,65.7,Data Scientist,20.71
Tier 2,6.58,0,2,0,"React, Docker, Git, Python",0,3,1,43.2,Software Engineer,8.3
Tier 1,5.38,2,4,0,"TensorFlow, Deep Learning",2,0,0,45.1,Junior Developer,4.01
Tier 3,6.79,0,6,0,"Node.js, Excel, HTML/CSS, Django, React",0,3,2,55.8,Web Developer,7.8
Tier 2,6.28,0,3,2,"React, Machine Learning, AWS",1,2,0,42.1,Software Engineer,10.25
Tier 1,7.77,0,3,0,"Python, Deep Learning, PyTorch, JavaScript",2,1,1,61.2,Data Scientist,15.67
Tier 2,6.81,2,2,0,"Node.js, React",0,2,0,46.8,Software Engineer,8.41
Tier 3,4.35,0,1,0,"Docker, Deep Learning",1,1,0,42.1,Junior Developer,4.37
Tier 2,7.71,1,5,0,"Node.js, TensorFlow",1,1,0,54.4,Data Scientist,16.05
